Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Treatment,Atisaara with rakta with kapha (Treatment),Atisaara,Atisaara with rakta with kapha (Treatment),(Ch. Siddhi. 8. 31)
Treatment,Atisaara with kapha with vaata (Treatment),Atisaara,Atisaara with kapha with vaata (Treatment),(Ch. Siddhi. 8. 32)
Treatment,Atisaara with rakta with kapha (Treatment),Atisaara,Atisaara with rakta with kapha (Treatment),(Ch. Siddhi. 8. 32)
Treatment,Atisaara with vaata with kapha (Treatment),Atisaara,Atisaara with vaata with kapha (Treatment),(Ch. Siddhi. 8. 33)
Treatment,Atisaara with pitta with vaata (Treatment),Atisaara,Atisaara with pitta with vaata (Treatment),(Ch. Siddhi. 8. 33)
Treatment,Samsargaja atisaara treatment (Treatment),Atisaara,Samsargaja atisaara treatment (Treatment),(Ch. Siddhi. 8. 34)
Treatment,Treatment of atisaara with six pathological components (Treatment),Atisaara,Treatment of atisaara with six pathological components (Treatment),(Ch. Siddhi. 8. 35)
Treatment,Sarva atisaara nashaka ghrita indication (Treatment),Atisaara,Sarva atisaara nashaka ghrita indication (Treatment),(Ch. Siddhi. 8. 36-37)
Treatment,Sarva atisaara nashaka yavaagu indication (Treatment),Atisaara,Sarva atisaara nashaka yavaagu indication (Treatment),(Ch. Siddhi. 8. 38-39)
Treatment,Sarva atisaara nashaka yavaagu indication (Treatment),Atisaara,Sarva atisaara nashaka yavaagu indication (Treatment),(Ch. Siddhi. 8. 40-42)
Treatment,Treatment for all types of atisaara (Treatment),Atisaara,Treatment for all types of atisaara (Treatment),(Ch. Siddhi. 8. 43-45)
Disease,Basti abhihata features - Varcha nigraha (Disease),Varcha,Obstruction of feces,(Ch. Siddhi. 9. 6)
Treatment,Management of disorders of marma (Treatment),Shodhana,Management of disorders of marma (Treatment),(Ch. Siddhi. 9. 8)
Advise,Vit ghata mootra ghaata type (Advise),Vit,Vit ghata mootra ghaata type (Advise),(Ch. Siddhi. 9. 25-26)
Disease,Vin rodhini - Ashtila mootra ghaata feature (Disease feature),Vin,Obstruction of feces,(Ch. Siddhi. 9. 36)
Disease,Vid vighaata mootra ghaata feature - Mootra with stool with fecal odour (Disease feature),Vid,Urine with fecal odour,(Ch. Siddhi. 9. 42-43)
Cause,Vega sandhaarana - Ardhavabedaka (Cause),Vega,Vega sandhaarana - Ardhavabedaka (Cause),(Ch. Siddhi. 9. 74-78)
Advise,Virechana dravya guna description (Advise),Virechana,Virechana dravya guna description (Advise),(Ch. Siddhi. 10. 6-8)
Advise,Indication for basti - Vit sanga (Advise),Vit,Indication for basti - Vit sanga (Advise),(Ch. Siddhi. 10. 9-10)
Advise,Virechana dravya used as prakshepa for basti (Advise),Virechana,Virechana dravya used as prakshepa for basti (Advise),(Ch. Siddhi. 10. 15-17)
Treatment,Parisraava hara basti (Treatment),Parisraava,Parisraava hara basti (Treatment),(Ch. Siddhi. 10. 32)
Treatment,Parikartika hara basti (Treatment),Parikartika,Parikartika hara basti (Treatment),(Ch. Siddhi. 10. 34-35)
Treatment,Pravaahika hara basti (Treatment),Pravaahika,Pravaahika hara basti (Treatment),(Ch. Siddhi. 10. 36-38)
Treatment,Atisaara hara basti (Treatment),Atisaara,Atisaara hara basti (Treatment),(Ch. Siddhi. 10. 44-45)
Advise,Vit vighaata and sanghaata caused by vaata in the context of basti (Advise),Vit,Vit vighaata and sanghaata caused by vaata in the context of basti (Advise),(Ch. Siddhi. 11. 17-18)
Advise,Indication for yaapana basti - Sakta varcha (Advise),Varcha,Indication for yaapana basti - Sakta varcha (Advise),(Ch. Siddhi. 12. 18.5)
Disease,Yaapana basti atiyoga feature - Atisaara (Disease),Atisaara,Loose feces,(Ch. Siddhi. 12. 30)
Advise,Virechana dravya (Advise),Virechana,Virechana dravya (Advise),(Ch. Kalp. 1. 6)
Advise,Indication for shyaama trivrit - Kroora koshta (Advise),Koshta,Indication for shyaama trivrit - Kroora koshta (Advise),(Ch. Kalp. 7. 8-9)
Treatment,Sannipaata jwara naashaka - Mridu virechana (Treatment),Virechana,Sannipaata jwara naashaka - Mridu virechana (Treatment),(Ch. Kalp. 7. 22)
Disease,Sannipaata jwara naashaka feature - Stambha (Pureesha) (Disease feature),Pureesha,Obstruction of feces,(Ch. Kalp. 7. 22)
Treatment,Kapha hara virechana nishotha yoga (Treatment),Virechana,Kapha hara virechana nishotha yoga (Treatment),(Ch. Kalp. 7. 33)
Treatment,Tarpana yoga (Treatment),Virechana,Tarpana yoga (Treatment),(Ch. Kalp. 7. 34-35)
Advise,Indications for Kalyanaka guda - Grahani (Advise),Grahani,Indications for Kalyanaka guda - Grahani (Advise),(Ch. Kalp. 7. 40-45)
Advise,Indications for trivritaadi modaka - Kaphaja udaavarta (Advise),Udaavarta,Indications for trivritaadi modaka - Kaphaja udaavarta (Advise),(Ch. Kalp. 7. 51-55)
Advise,Virechana aushadhi in Varsha ritu (Advise),Virechana,Virechana aushadhi in Varsha ritu (Advise),(Ch. Kalp. 7. 56)
Advise,Virechana aushadhi after Varsha ritu (Advise),Virechana,Virechana aushadhi after Varsha ritu (Advise),(Ch. Kalp. 7. 57)
Advise,Virechana aushadhi in Winter season (Advise),Virechana,Virechana aushadhi in Winter season (Advise),(Ch. Kalp. 7. 58)
Advise,Virechana aushadhi in Summer season (Advise),Virechana,Virechana aushadhi in Summer season (Advise),(Ch. Kalp. 7. 59)
Advise,Virechana aushadhi for all season (Advise),Virechana,Virechana aushadhi for all season (Advise),(Ch. Kalp. 7. 60)
Treatment,Gulma naashak yoga (Treatment),Virechana,Gulma naashak yoga (Treatment),(Ch. Kalp. 7. 66-68)
Treatment,Trivrit arishta (Treatment),Grahani,Trivrit arishta (Treatment),(Ch. Kalp. 7. 69-71)
Treatment,Trivrit tushodaka (Treatment),Grahani,Trivrit tushodaka (Treatment),(Ch. Kalp. 7. 72-73)
Advise,Age wise use of Aaragwadha (Advise),Virechana,Age wise use of Aaragwadha (Advise),(Ch. Kalp. 8. 8-10)
Advise,Aragwadha ksheerodghrita (Advise),Virechana,Aragwadha ksheerodghrita (Advise),(Ch. Kalp. 8. 14-16)
Advise,Snuhi as virechana dravya (Advise),Virechana,Snuhi as virechana dravya (Advise),(Ch. Kalp. 10. 3-4)
Advise,Virechana kashaaya yoga (Advise),Virechana,Virechana kashaaya yoga (Advise),(Ch. Kalp. 11. 7-8)
Advise,Ghrita yoga (Advise),Virechana,Ghrita yoga (Advise),(Ch. Kalp. 11. 12-14)
Advise,Danti dravanti formulations for virechana (Advise),Virechana,Danti dravanti formulations for virechana (Advise),(Ch. Kalp. 12. 7)
Advise,Poorva karma for rasaayana prayoga - Shuddha shareera (Advise),Shuddha,Poorva karma for rasaayana prayoga - Shuddha shareera (Advise),(Ch. Chi. 1. 1. 25-28)
Disease,Antarvegi jwara features - Varcho vinigraha (Disease feature),Varcho,Obstruction of feces,(Ch. Chi. 3. 39-41)
Disease,Bahirvegi jwara features - Mridu varcho vinigraha (Disease feature),Varcho,Mild Obstruction of feces,(Ch. Chi. 3. 39-41)
Disease,Santata jwara - Pureesha dushti (Disease feature),Pureesha,Abnormally formed feces,(Ch. Chi. 3. 56)
Disease,Maamsa gata dhaatu jwara - Srushta vitkata (Disease feature),Vit,Loose feces,(Ch. Chi. 3. 78)
Disease,Asthi dhaatu gata jwara - Vireka (Disease feature),Vireka,Loose feces,(Ch. Chi. 3. 80)
Disease,Pitta pradhaana sannipaataja jwara - Rakta vin (Disease feature),Vin,Red feces or blood mixed feces,(Ch. Chi. 3. 95)
Disease,Pitta tama Vaata tara kapha pradhaana sannipaataja jwara - Varcho bheda (Disease feature),Varcho,Loose feces,(Ch. Chi. 3. 102)
Disease,Tridosha pradhaana sannipataja jwara - Pureesha chiraat darshanam (Disease feature),Pureesha,Delayed defecation,(Ch. Chi. 3. 103-109)
Disease,Tridosha pradhaana sannipataja jwara - Pureesha alpasha (Disease feature),Pureesha,Deficient feces,(Ch. Chi. 3. 103-109)
Disease,Aama jwara feature - Na vit jeerna (Disease feature),Vit,Abnormally formed feces,(Ch. Chi. 3. 136)
Disease,Pachyamaana jwara lakshana - Mala pravrutti utklesha (Disease feature),Mala,Increased tendency to defecate,(Ch. Chi. 3. 136)
Disease,Niraama jwara lakshana - Dosha pravrutti (Disease feature),Dosha,Proper defecation,(Ch. Chi. 3. 137-138)
Cause,Vamana mithya upachaara - Aanaaha (Cause),Aanaaha,Vamana mithya upachaara - Aanaaha (Cause),(Ch. Chi. 3. 147-149)
Advise,Vamana samsarjana krama benefit - Pureesha anulomana (Advise),Pureesha,Vamana samsarjana krama benefit - Pureesha anulomana (Advise),(Ch. Chi. 3. 152)
Advise,Indication of virechana in jwara (Advise),Virechana,Indication of virechana in jwara (Advise),(Ch. Chi. 3. 168-169)
Advise,Indication of anuvasana in jwara - Pureesha badhatva (Advise),Pureesha,Indication of anuvasana in jwara - Pureesha badhatva (Advise),(Ch. Chi. 3. 172-173)
Advise,Daadimaadi yavaagu in regular bowel movement - Srushta vit (Advise),Vit,Daadimaadi yavaagu in regular bowel movement - Srushta vit (Advise),(Ch. Chi. 3. 179-181)
Treatment,Jwara atisaara treatment (Treatment),Atisaara,Jwara atisaara treatment (Treatment),(Ch. Chi. 3. 182-183)
Advise,Yavaadi yavaagu for jwara with vibaddha varcha (Advise),Varcha,Yavaadi yavaagu for jwara with vibaddha varcha (Advise),(Ch. Chi. 3. 184)
Advise,Mrdvaadi yavagu - Koshta vibaddha (Advise),Koshta,Mrdvaadi yavagu - Koshta vibaddha (Advise),(Ch. Chi. 3. 185)
Advise,Indication of trikantakaadi ksheera paakam - Varcho vibandhagnam (Advise),Varcho,Indication of trikantakaadi ksheera paakam - Varcho vibandhagnam (Advise),(Ch. Chi. 3. 236)
Advise,Ksheera paakam for guda maarga raktapitta - Vit patha sampravrutti (Advise),Vit,Ksheera paakam for guda maarga raktapitta - Vit patha sampravrutti (Advise),(Ch. Chi. 4. 86-87)
Advise,Shataavari ghrita indication - Vibandha (Advise),Pureesha,Shataavari ghrita indication - Vibandha (Advise),(Ch. Chi. 4. 95-96)
Cause,Gulma causes - Vit excess excretion (Cause),Vit,Gulma causes - Vit excess excretion (Cause),(Ch. Chi. 5. 4)
Disease,Vaataja gulma feature - Vit sangha (Disease feature),Vit,Obstruction of feces,(Ch. Chi. 5. 10)
Treatment,Vaataja gulma feature - Badha vit (Treatment) - Swedana,Vit,Vaataja gulma feature - Badha vit (Treatment) - Swedana,(Ch. Chi. 5. 21-22)
Treatment,Vaataja gulma feature - Vibandha varchas (Treatment) - Bruhmana,Varcha,Vaataja gulma feature - Vibandha varchas (Treatment) - Bruhmana,(Ch. Chi. 5. 25)
Disease,Vaata kapha gulma feature - Vibandha (Disease feature) - Varti,Varcha,Obstruction of feces,(Ch. Chi. 5. 30)
Treatment,Vaata kapha gulma feature - Vibandha (Treatment) - Varti,Varcha,Vaata kapha gulma feature - Vibandha (Treatment) - Varti,(Ch. Chi. 5. 30)
Treatment,Treatment for vibandha associated with gulma (Treatment) - Vibandha,Varcha,Treatment for vibandha associated with gulma (Treatment) - Vibandha,(Ch. Chi. 5. 51-52)
Treatment,Kaphaja gulma treatment - Virechana (Treatment),Virechana,Kaphaja gulma treatment - Virechana (Treatment),(Ch. Chi. 5. 60-62)
Advise,Indication of shatyaadi choorna - Pravaahika (Advise),Pravaahika,Indication of shatyaadi choorna - Pravaahika (Advise),(Ch. Chi. 5. 86-90)
Advise,Nilin ghrita for shodhana (Advise),Shodhana,Nilin ghrita for shodhana (Advise),(Ch. Chi. 5. 105)
Treatment,Pittaja gulma chikitsa - Virechana (Treatment),Virechana,Pittaja gulma chikitsa - Virechana (Treatment),(Ch. Chi. 5. 114)
Treatment,Pittaja gulma chikitsa - Virechana (Treatment),Virechana,Pittaja gulma chikitsa - Virechana (Treatment),(Ch. Chi. 5. 130)
Advise,Indication for mishraka sneha - Vibandha (Advise),Pureesha,Indication for mishraka sneha - Vibandha (Advise),(Ch. Chi. 5. 149-151)
Treatment,Kaphaja gulma treatment - Virechana (Treatment),Virechana,Kaphaja gulma treatment - Virechana (Treatment),(Ch. Chi. 5. 152-153)
Advise,Indication of danti haritaki for virechana (Advise),Virechana,Indication of danti haritaki for virechana (Advise),(Ch. Chi. 5. 154-160)
Disease,Asaadhya gulma lakshana - Atisaara (Disease feature),Atisaara,Loose feces,(Ch. Chi. 5. 171)
Cause,Vega sandhaarana as Kushta nidana (Cause),Vega,Vega sandhaarana as Kushta nidana (Cause),(Ch. Chi. 7. 4)
Treatment,Kushta - Bahu dosha - Samshodhana (Treatment),Shodhana,Kushta - Bahu dosha - Samshodhana (Treatment),(Ch. Chi. 7. 41)
Treatment,Kushta - Bahu dosha - Administration of sneha after Samshodhana (Treatment),Shodhana,Kushta - Bahu dosha - Administration of sneha after Samshodhana (Treatment),(Ch. Chi. 7. 42)
Treatment,Kushta - Virechana (Treatment),Virechana,Kushta - Virechana (Treatment),(Ch. Chi. 7. 44-45)
Treatment,Kushta - Anuvaasana basti after Virechana in kushta for shesha dosha (Treatment),Virechana,Kushta - Anuvaasana basti after Virechana in kushta for shesha dosha (Treatment),(Ch. Chi. 7. 46-47)
Treatment,Kushta - Application of lepa after Samshodhana and Raktamokshana (Treatment),Shodhana,Kushta - Application of lepa after Samshodhana and Raktamokshana (Treatment),(Ch. Chi. 7. 51-53)
Advise,Indication for patolaadi kwatha - Grahani (Advise),Grahani,Indication for patolaadi kwatha - Grahani (Advise),(Ch. Chi. 7. 62)
Advise,Kushta - Siddhartaka snaana combination also used for virechana (Advise),Virechana,Kushta - Siddhartaka snaana combination also used for virechana (Advise),(Ch. Chi. 7. 91-92)
Treatment,Shwitra - Vishuddhi - Purgation (Treatment),Vishuddhi,Shwitra - Vishuddhi - Purgation (Treatment),(Ch. Chi. 7. 161-162)
Disease,Saahasa janya rajayakshma - Varcho beda (Disease feature),Varcho,Loose feces,(Ch. Chi. 8. 14-19)
Cause,Vega sandhaarana janya rajayakshma cause - Pureesha nigraha (Cause),Pureesha,Vega sandhaarana janya rajayakshma cause - Pureesha nigraha (Cause),(Ch. Chi. 8. 20)
Disease,Dhaatu kshaya janya yakshma - Vid bheda (Disease feature),Vid,Loose feces,(Ch. Chi. 8. 24-27)
Advise,Vid raksha - bala raksha in yakshma (Advise),Vid,Vid raksha - bala raksha in yakshma (Advise),(Ch. Chi. 8. 42)
Disease,Rajayakshma - Atisaara (Disease feature),Atisaara,Loose feces,(Ch. Chi. 8. 58-59)
Treatment,Mridu virechana - Rajayakshma (Treatment),Virechana,Mridu virechana - Rajayakshma (Treatment),(Ch. Chi. 8. 87-88)
Advise,Indication for Duraalabaadi ghrita - Atisaara (Advise),Atisaara,Indication for Duraalabaadi ghrita - Atisaara (Advise),(Ch. Chi. 8. 106-110)
Disease,Rajayakshma - Atisaara (Disease feature),Atisaara,Loose feces,(Ch. Chi. 8. 123-134)
Advise,Indication for taalisaadi choorna - Atisaara (Advise),Atisaara,Indication for taalisaadi choorna - Atisaara (Advise),(Ch. Chi. 8. 145-148)
Disease,Deva unmaada - Alpa pureesha (Disease feature),Pureesha,Reduced quantity of feces,(Ch. Chi. 9. 20)
Treatment,Unmaada - chikitsa - Virechana (Treatment),Virechana,Unmaada - chikitsa - Virechana (Treatment),(Ch. Chi. 9. 26)
Treatment,Unmaada - chikitsa - Virechana (Treatment),Shodhana,Unmaada - chikitsa - Virechana (Treatment),(Ch. Chi. 9. 27)
Treatment,Apasmaara - Virechana (Treatment),Virechana,Apasmaara - Virechana (Treatment),(Ch. Chi. 10. 14)
Treatment,Apasmaara - Virechana (Treatment),Virechana,Apasmaara - Virechana (Treatment),(Ch. Chi. 10. 15)
Treatment,Atatvaabhinivesha - Shodhana (Treatment),Shodhana,Atatvaabhinivesha - Shodhana (Treatment),(Ch. Chi. 10. 61)
Disease,Kshata ksheena - Vid bheda (Disease feature),Vid,Loose feces,(Ch. Chi. 11. 10)
Disease,Kshata ksheena - Alpa Vid bheda (Disease premonitory feature),Vid,Mild loose feces,(Ch. Chi. 11. 12-13)
Treatment,Kshata ksheena - Bhinna vid chikitsa (Treatment),Vid,Kshata ksheena - Bhinna vid chikitsa (Treatment),(Ch. Chi. 11. 16)
Treatment,Kshata ksheena - Bhinna shakrut chikitsa (Treatment),Shakrut,Kshata ksheena - Bhinna shakrut chikitsa (Treatment),(Ch. Chi. 11. 84)
Treatment,Shotha chikitsa - Virechana (Treatment),Virechana,Shotha chikitsa - Virechana (Treatment),(Ch. Chi. 12. 17-19
Treatment,Shotha chikitsa - Shodhana (Treatment),Shodhana,Shotha chikitsa - Shodhana (Treatment),(Ch. Chi. 12.19
Treatment,Shotha - Guru varcha chikitsa (Treatment),Varcha,Shotha - Guru varcha chikitsa (Treatment),(Ch. Chi.12.27
Treatment,Shotha - Bhinna varcha chikitsa (Treatment),Varcha,Shotha - Bhinna varcha chikitsa (Treatment),(Ch. Chi.12.28
Treatment,Shotha - Vid rodha chikitsa (Treatment),Vid,Shotha - Vid rodha chikitsa (Treatment),(Ch. Chi.12.28
Advise,Indication for chitraka ghrita - Atisaara (Advise),Atisaara,Indication for chitraka ghrita - Atisaara (Advise),(Ch. Chi.12.58-59
Advise,Indication for jeevantyaadi yavaagu - Atisaara (Advise),Atisaara,Indication for jeevantyaadi yavaagu - Atisaara (Advise),(Ch. Chi.12.60-61
Advise,Indication for panchakolaadi yavaagu - Atisaara (Advise),Atisaara,Indication for panchakolaadi yavaagu - Atisaara (Advise),(Ch. Chi.12.60-62
Treatment,Bradhna chikitsa - Virechana (Treatment),Virechana,Bradhna chikitsa - Virechana (Treatment),(Ch. Chi.12.94-95
Treatment,Bhagandara chikitsa - Virechana (Treatment),Virechana,Bhagandara chikitsa - Virechana (Treatment),(Ch. Chi.12.96-97
Disease,Udara roga - Pureesha nischaya (Disease premonitory feature),Pureesha,Obstruction of feces,(Ch. Chi.13.16-19
Advise,Baddha udara - Type of udara (Advise),Pureesha,Baddha udara - Type of udara (Advise),(Ch. Chi.13.22
Cause,Vega sandhaarana - Udara roga cause (Cause),Vega,Vega sandhaarana - Udara roga cause (Cause),(Ch.Chi. 13.23
Cause,Udavarta - Udara roga cause (Cause),Vega,Udavarta - Udara roga cause (Cause),(Ch.Chi. 13.24
Disease,Varcha rodha - Vaataja udara roga lakshana (Disease feature),Varcha,Obstruction of feces,(Ch.Chi.13.25
Disease,Shyaava varna varcha - Vaataja udara roga lakshana (Disease feature),Varcha,Black feces,Ch.Chi.13-25
Disease,Aruna varna varcha - Vaataja udara roga lakshana (Disease feature),Varcha,Loose feces,Ch.Chi.13-25
Disease,Atisaara - Pittaja udara roga lakshana (Disease feature),Atisaara,Loose feces,Ch.Chi.13-28
Disease,Shukla varcha - Kaphaja udara roga lakshana (Disease feature),Varcha,Pale or white feces,Ch.Chi.13-31
Cause,Vin mixed with food - Cause of sannipatoja udara (Cause),Vin,Vin mixed with food - Cause of sannipatoja udara (Cause),Ch.Chi.13-32
Disease,Varcha rodha - Yakrut udara feature (Disease feature),Varcha,Obstruction of feces,Ch.Chi.13-37-38
Disease,Varcha rodha - Pleeha udara feature (Disease feature),Varcha,Obstruction of feces,Ch.Chi.13-37-38
Disease,Baddha udara - Varcha rodha due to many reasons (Disease feature),Varcha,Obstruction of feces,Ch.Chi.13-39
Disease,Baddha udara - Varcha rodha due to many reasons (Disease feature),Varcha,Obstruction of feces,Ch.Chi.13-41
Disease,Chidrodara - Reddish stool (Disease feature),Varcha,Red feces,Ch.Chi.13-44
Disease,Chidrodara - Yellowish stool (Disease feature),Varcha,Yellow feces,Ch.Chi.13-44
Disease,Chidrodara - Mucous mixed stool (Disease feature),Varcha,Mucous mixed stool,Ch.Chi.13-44
Disease,Chidrodara - Foul smelling stool (Disease feature),Varcha,Foul smelling feces,Ch.Chi.13-44
Disease,Chidrodara - Unformed stool (Disease feature),Varcha,Abnormally formed feces,Ch.Chi.13-44
Disease,Udakodara - Mucous passing from anus (Disease feature),Varcha,Mucus discharge,Ch.Chi.13-47
Advise,Baddha udara - Incurable after a fortnight (Advise),Varcha,Baddha udara - Incurable after a fortnight (Advise),Ch.Chi.13-51
Disease,Udara roga - Fatal signs - Atisaara (Disease prognosis),Atisaara,Loose feces,Ch.Chi.13-53
Disease,Ajaata udaka - Frequent passing of stool (Disease feature),Pureesha,Frequent defecation,Ch.Chi.13-57
Advise,Indication of sneha virechana in Vaata udara (Advise),Virechana,Indication of sneha virechana in Vaata udara (Advise),Ch.Chi.13-59
Advise,Indication of nitya virechana in Udara (Advise),Virechana,Indication of nitya virechana in Udara (Advise),Ch.Chi.13-61-62
Advise,Indication of anuvasana basti in Udara with varcha rodha (Advise),Varcha,Indication of anuvasana basti in Udara with varcha rodha (Advise),Ch.Chi.13-64
Advise,Indication of anuvasana basti recipe in Udara with varcha rodha (Advise),Varcha,Indication of anuvasana basti recipe in Udara with varcha rodha (Advise),Ch.Chi.13-65
Advise,Contraindication of virechana in udara (Advise),Virechana,Contraindication of virechana in udara (Advise),Ch.Chi.13-66-67
Advise,Indication of anuvasana basti in Udara (Advise),Virechana,Indication of anuvasana basti in Udara (Advise),Ch.Chi.13-66-67
Advise,Indication of virechana in udara (Advise),Virechana,Indication of virechana in udara (Advise),Ch.Chi.13-70
Advise,Indication of shodhana in kapha udara (Advise),Shodhana,Indication of shodhana in kapha udara (Advise),Ch.Chi.13-72
Advise,Indication of teekshna virechana in baddha udara (Advise),Virechana,Indication of teekshna virechana in baddha udara (Advise),Ch.Chi.13-89-90
Advise,Indication of takra in Atisaara in Chidrodara (Advise),Atisaara,Indication of takra in Atisaara in Chidrodara (Advise),Ch.Chi.13-106
Advise,Indication of virechana in udara (Advise),Virechana,Indication of virechana in udara (Advise),Ch.Chi.13-118-119
Advise,Indication of Naarayana choorna in Varcha rodha in Udara (Advise),Varcha,Indication of Naarayana choorna in Varcha rodha in Udara (Advise),Ch.Chi.13-129
Advise,Indication of virechana in Parikartika in Udara (Advise),Virechana,Indication of virechana in Parikartika in Udara (Advise),Ch.Chi.13-132
Advise,Indication of virechana by hapushaadi choorna (Advise),Virechana,Indication of virechana by hapushaadi choorna (Advise),Ch.Chi.13-133-136
Advise,Indication of dantyaadi preparation for Vibandha in Udara (Advise),Varcha,Indication of dantyaadi preparation for Vibandha in Udara (Advise),Ch.Chi.13-154-155
Advise,Indication of pippalyaadi lavana for visuchika or in Atisaara (Advise),Atisaara,Indication of pippalyaadi lavana for visuchika or in Atisaara (Advise),Ch.Chi.13-157-161
Advise,"Indication of shankini, etc. for inducing shithiliboota varcha in vibandha in Udara (Advise)",Varcha,"Indication of shankini, etc. for inducing shithiliboota varcha in vibandha in Udara (Advise)",Ch.Chi.13-167-168
Disease,Sahaja arshas feature - Vibaddha pureesha (Disease feature),Pureesha,Obstruction of feces,Ch.Chi.14.8
Disease,Sahaja arshas feature - Aniyata vibaddha pureesha (Disease feature),Pureesha,Obstruction of feces - unexplained,Ch.Chi.14.8
Cause,Vega Udheerana as cause for Sahaja arshas (Cause),Vega,Vega Udheerana as cause for Sahaja arshas (Cause),Ch.Chi.14.9
Cause,Vega Dhaarana as cause for Sahaja arshas (Cause),Vega,Vega Dhaarana as cause for Sahaja arshas (Cause),Ch.Chi.14.9
Disease,Pravaahika - Vaata arshas feature (Disease feature),Pravaahika,Loose feces,Ch.Chi.14.11
Disease,Pratata vibaddha varcha - Vaata arshas feature (Disease feature),Varcha,Frequent Obstruction of feces,Ch.Chi.14.11
Disease,Bhinna varcha - Pittaja arshas feature (Disease feature),Varcha,Loose feces,Ch.Chi.14.14
Disease,Peeta varcha - Pittaja arshas feature (Disease feature),Varcha,Yellow feces,Ch.Chi.14.14
Disease,Harita varcha - Pittaja arshas feature (Disease feature),Varcha,Green feces,Ch.Chi.14.14
Disease,Visra gandhi varcha - Pittaja arshas feature (Disease feature),Varcha,Foul smelling feces,Ch.Chi.14.14
Disease,Bahula varcha - Pittaja arshas feature (Disease feature),Varcha,Increased quantity of feces,Ch.Chi.14.14
Disease,Guru pureesha - Kaphaja arshas feature (Disease feature),Pureesha,Heavy feces,Ch.Chi.14-17
Disease,Picchila pureesha - Kaphaja arshas feature (Disease feature),Pureesha,Slimy feces,Ch.Chi.14-17
Disease,Shukla pureesha - Kaphaja arshas feature (Disease feature),Pureesha,Pale or white feces,Ch.Chi.14-17
Disease,Pratata vibaddha varcha - Vaata pitta arshas feature (Disease feature),Pureesha,Frequent Obstruction of feces,Ch.Chi.14.20
Disease,Bhinna varcha - Vaata Pittaja arshas feature (Disease feature),Pureesha,Loose feces,Ch.Chi.14.20
Disease,Peeta varcha - Vaata Pittaja arshas feature (Disease feature),Pureesha,Yellow feces,Ch.Chi.14.20
Disease,Harita varcha - Vaata Pittaja arshas feature (Disease feature),Pureesha,Green feces,Ch.Chi.14.20
Disease,Visra gandhi varcha - Vaata Pittaja arshas feature (Disease feature),Pureesha,Foul smelling feces,Ch.Chi.14.20
Disease,Bahula varcha - Vaata Pittaja arshas feature (Disease feature),Pureesha,Increased quantity of feces,Ch.Chi.14.20
Disease,Pratata vibaddha varcha - Vaata kaphaja arshas feature (Disease feature),Pureesha,Frequent Obstruction of feces,Ch.Chi.14.20
Disease,Guru pureesha - Vaata Kaphaja arshas feature (Disease feature),Pureesha,Heavy feces,Ch.Chi.14.20
Disease,Picchila pureesha - Vaata Kaphaja arshas feature (Disease feature),Pureesha,Slimy feces,Ch.Chi.14.20
Disease,Shukla pureesha - Vaata Kaphaja arshas feature (Disease feature),Pureesha,Pale or white feces,Ch.Chi.14.20
Disease,Bhinna varcha - Pitta kaphaja arshas feature (Disease feature),Pureesha,Loose feces,Ch.Chi.14.20
Disease,Peeta varcha - Pitta kaphaja arshas feature (Disease feature),Pureesha,Yellow feces,Ch.Chi.14.20
Disease,Harita varcha - Pitta kaphaja arshas feature (Disease feature),Pureesha,Green feces,Ch.Chi.14.20
Disease,Visra gandhi varcha - Pitta kaphaja arshas feature (Disease feature),Pureesha,Foul smelling feces,Ch.Chi.14.20
Disease,Bahula varcha - Pitta kaphaja arshas feature (Disease feature),Pureesha,Increased quantity of feces,Ch.Chi.14.20
Disease,Guru pureesha - Pitta Kaphaja arshas feature (Disease feature),Pureesha,Heavy feces,Ch.Chi.14.20
Disease,Picchila pureesha - Pitta Kaphaja arshas feature (Disease feature),Pureesha,Slimy feces,Ch.Chi.14.20
Disease,Shukla pureesha - Pitta Kaphaja arshas feature (Disease feature),Pureesha,Pale or white feces,Ch.Chi.14.20
Disease,Pratata vibaddha varcha - Vaata pitta kaphaja arshas feature (Disease feature),Pureesha,Frequent Obstruction of feces,Ch.Chi.14.20
Disease,Bhinna varcha - Vaata Pittaja kaphaja arshas feature (Disease feature),Pureesha,Loose feces,Ch.Chi.14.20
Disease,Peeta varcha - Vaata Pittaja kaphaja arshas feature (Disease feature),Pureesha,Yellow feces,Ch.Chi.14.20
Disease,Harita varcha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Green feces,Ch.Chi.14.20
Disease,Visra gandhi varcha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Foul smelling feces,Ch.Chi.14.20
Disease,Bahula varcha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Increased quantity of feces,Ch.Chi.14.20
Disease,Guru pureesha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Heavy feces,Ch.Chi.14.20
Disease,Picchila pureesha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Slimy feces,Ch.Chi.14.20
Disease,Shukla pureesha - Vaata Pittaja Kaphaja arshas feature (Disease feature),Pureesha,Pale or white feces,Ch.Chi.14.20
